Artist 1,Artist 2,Cosine Similarity
Adrienne Young,Creedence Clearwater Revival,0.45799414474497
Adrienne Young,Cristy Lane,0.41130720463538445
Adrienne Young,Dan + Shay,0.4097628462347327
Adrienne Young,David Allan Coe,0.40812186291536356
Adrienne Young,Dean Martin,0.4248810787085096
Adrienne Young,Debby Boone,0.4049527341599414
Adrienne Young,Debby Ryan,0.4685898089216988
Adrienne Young,Diamond Rio,0.5459874192718353
Adrienne Young,Diana DeGarmo,0.4005530450357499
Adrienne Young,Dolly Parton,0.5539234924479335
Adrienne Young,Don Henley,0.4079823746566571
Adrienne Young,Dottie West,0.5165886346227345
Adrienne Young,Doug Stone,0.4757049864261022
Adrienne Young,Dwight Yoakam,0.444642046308197
Adrienne Young,Eagles (band),0.5262077331201702
Adrienne Young,Earl Scruggs,0.4363933167112251
Adrienne Young,Ed Sheeran,0.404368066646297
Adrienne Young,Eddy Raven,0.4034718510191539
Adrienne Young,Elvis Presley,0.5228710472304166
Adrienne Young,Emerson Drive,0.4402917674159209
Adrienne Young,Emmylou Harris,0.5296709097745126
Adrienne Young,Eric Church,0.4962605436939546
Adrienne Young,Exile (American band),0.48550193572872963
Adrienne Young,Faith Hill,0.5297715988008944
Adrienne Young,First Aid Kit (band),0.4662942954224395
Adrienne Young,Fleet Foxes,0.4321675401999019
Adrienne Young,Florida Georgia Line,0.47659211735791096
Adrienne Young,The Flying Burrito Brothers,0.47923805106794276
Adrienne Young,Frankie Laine,0.4186266914696928
Adrienne Young,Garth Brooks,0.4492899973343617
Adrienne Young,Gary Allan,0.4387245644887785
Adrienne Young,Gene Clark,0.4937076619512724
Adrienne Young,George Jones,0.5025303698784876
Adrienne Young,George Strait,0.4765665657393281
Adrienne Young,Gillian Welch,0.41676575661867404
Adrienne Young,Glen Campbell,0.43680903093556306
Adrienne Young,Gram Parsons,0.43725590148402177
Adrienne Young,Gregg Allman,0.41347019168416843
Adrienne Young,Hank Williams,0.5235950026772306
Adrienne Young,Hank Williams Jr.,0.45056681788048414
Adrienne Young,Hillary Scott,0.5121220061329678
Adrienne Young,Hootie & the Blowfish,0.4469568214570544
Adrienne Young,Hunter Hayes,0.41421654941563696
Adrienne Young,Ilse DeLange,0.4672379046857686
Adrienne Young,Jack White,0.553015157998496
Adrienne Young,James Taylor,0.5232632422539909
Adrienne Young,Jan Howard,0.4765842423240215
Adrienne Young,Jason Aldean,0.43073922571970163
Adrienne Young,Jeff Bridges,0.4257250650629955
Adrienne Young,Jerry Lee Lewis,0.4318192102916249
Adrienne Young,Jewel (singer),0.43781795878831625
Adrienne Young,Jim Reeves,0.4009401158767149
Adrienne Young,Jimmie Davis,0.42555549333810094
Adrienne Young,Jimmy Webb,0.4105989167025669
Adrienne Young,Jo Dee Messina,0.4057406008971485
Adrienne Young,Jody Miller,0.44384997685356053
Adrienne Young,Joe Diffie,0.42421372093314064
Adrienne Young,John Hartford,0.40155823271230057
Adrienne Young,John Mayer,0.4141177134081019
Adrienne Young,John Mellencamp,0.450807483304106
Adrienne Young,John Williamson (singer),0.4437583648641874
