Artist 1,Artist 2,Cosine Similarity
21 Savage,21 Savage,1.0000000000000013
21 Savage,2 Chainz,0.4377124985964689
21 Savage,50 Cent,0.49374159812724666
21 Savage,Akon,0.44057178824820775
21 Savage,Anitta (singer),0.43403220129087255
21 Savage,Apl.de.ap,0.4544584015587875
21 Savage,Ashanti (singer),0.40708460383403716
21 Savage,B.I (rapper),0.5232211511251394
21 Savage,B.o.B,0.5722037536574711
21 Savage,Beyoncé,0.4698332077527287
21 Savage,Big Sean,0.4593994128398811
21 Savage,Birdman (rapper),0.4198696162509937
21 Savage,Black the Ripper,0.4331681570718105
21 Savage,Bobby Brown,0.4163251932405561
21 Savage,Bow Wow (rapper),0.4011632615838609
21 Savage,Brother Marquis,0.4026377934001055
21 Savage,Burna Boy,0.4522223108598854
21 Savage,Busta Rhymes,0.4474398771784089
21 Savage,Cardi B,0.44740497773139243
21 Savage,CeeLo Green,0.44014598702845975
21 Savage,Cher Lloyd,0.438864398928529
21 Savage,Chris Brown,0.5423804309797114
21 Savage,Christon Gray,0.4737040946603626
21 Savage,Chuck D,0.4571614153713917
21 Savage,Ciara,0.41367683843611824
21 Savage,Clinton Sparks,0.4168191447000176
21 Savage,Common (rapper),0.46813035989355506
21 Savage,Craig David,0.5129111265254916
21 Savage,DJ Khaled,0.41543076827675274
21 Savage,DJ Paul,0.4115572120256486
21 Savage,DJ Shadow,0.4051624707354729
21 Savage,DMX (rapper),0.4081491912914329
21 Savage,DaBaby,0.4139427946661656
21 Savage,Daddy Yankee,0.4054326210058804
21 Savage,Danny Brown (rapper),0.486524944233239
21 Savage,Dave (rapper),0.4407381664254522
21 Savage,Dave East,0.4345451794690877
21 Savage,Dean (South Korean singer),0.42773929943904415
21 Savage,Dee-1,0.4162303680894614
21 Savage,Derek Minor,0.4550233432690264
21 Savage,Digga D,0.4202230438560771
21 Savage,Doja Cat,0.42407837800172027
21 Savage,Donald Glover,0.41467615302651323
21 Savage,Dr. Dre,0.44498829807081647
21 Savage,Drake (musician),0.5548506366546458
21 Savage,Drake (rapper),0.5548506366546458
21 Savage,Eminem,0.47632953349254786
21 Savage,Eve (rapper),0.44589101495259403
21 Savage,Fabolous,0.46105728164358134
21 Savage,Fergie (singer),0.4077548127213769
21 Savage,Foxy Brown (rapper),0.43530571553048
21 Savage,French Montana,0.49261337273072464
21 Savage,Future (rapper),0.5287365261222883
21 Savage,G-Dragon,0.44167785502023665
21 Savage,G-Eazy,0.41908598283490733
21 Savage,Gucci Mane,0.42433465996253644
21 Savage,Hip hop music,0.4968787209041556
21 Savage,I.M,0.4441378050707062
21 Savage,Ice-T,0.4553184530948731
